Booking ID,Booking Date,Booking Channel,Loyalty Level,Status,Stay Date,Number of nights,Room Rate,Revenue,How far away?,How far away bucket,Day Name,Day of Week
RES010660,25-Oct-24,At the hotel,0.Non-member,Modified,26-Oct-24,1,170.98,170.98,1,1. Before a week,Saturday,6
RES010732,29-Sep-24,At the hotel,0.Non-member,Modified,30-Sep-24,1,126.61,126.61,1,1. Before a week,Monday,1
RES010749,31-Oct-24,At the hotel,0.Non-member,Modified,1-Nov-24,1,193.94,193.94,1,1. Before a week,Friday,5
RES010759,12-Sep-24,At the hotel,0.Non-member,Modified,13-Sep-24,1,180.71,180.71,1,1. Before a week,Friday,5
RES010826,25-Oct-24,At the hotel,0.Non-member,Modified,26-Oct-24,1,151.51,151.51,1,1. Before a week,Saturday,6
RES011120,4-Oct-24,At the hotel,0.Non-member,Modified,5-Oct-24,1,175.87,175.87,1,1. Before a week,Saturday,6
RES011144,18-Oct-24,At the hotel,0.Non-member,Modified,19-Oct-24,1,54.22,54.22,1,1. Before a week,Saturday,6
RES011173,23-Sep-24,At the hotel,0.Non-member,Modified,24-Sep-24,1,166.26,166.26,1,1. Before a week,Tuesday,2
RES011181,25-Sep-24,At the hotel,0.Non-member,Modified,26-Sep-24,1,145.78,145.78,1,1. Before a week,Thursday,4
RES011184,20-Sep-24,At the hotel,0.Non-member,Modified,21-Sep-24,1,213.73,213.73,1,1. Before a week,Saturday,6
RES011316,16-Sep-24,At the hotel,0.Non-member,Modified,17-Sep-24,1,63.03,63.03,1,1. Before a week,Tuesday,2
RES011325,30-Sep-24,At the hotel,0.Non-member,Modified,1-Oct-24,1,168.32,168.32,1,1. Before a week,Tuesday,2
RES011344,18-Oct-24,At the hotel,0.Non-member,Modified,19-Oct-24,1,33.94,33.94,1,1. Before a week,Saturday,6
RES011395,2-Sep-24,At the hotel,0.Non-member,Modified,3-Sep-24,1,168.32,168.32,1,1. Before a week,Tuesday,2
RES011646,24-Oct-24,At the hotel,0.Non-member,Modified,25-Oct-24,1,151.51,151.51,1,1. Before a week,Friday,5
RES011669,8-Oct-24,At the hotel,0.Non-member,Modified,9-Oct-24,1,77.43,77.43,1,1. Before a week,Wednesday,3
RES011807,22-Sep-24,At the hotel,0.Non-member,Modified,23-Sep-24,1,141.56,141.56,1,1. Before a week,Monday,1
RES011908,13-Sep-24,At the hotel,0.Non-member,Modified,14-Sep-24,1,210.84,210.84,1,1. Before a week,Saturday,6
RES012009,24-Sep-24,At the hotel,0.Non-member,Modified,25-Sep-24,1,125.3,125.3,1,1. Before a week,Wednesday,3
RES012027,18-Oct-24,At the hotel,0.Non-member,Modified,19-Oct-24,1,120.58,120.58,1,1. Before a week,Saturday,6
RES012029,26-Sep-24,At the hotel,0.Non-member,Modified,27-Sep-24,1,33.76,33.76,1,1. Before a week,Friday,5
RES012040,31-Oct-24,At the hotel,0.Non-member,Modified,1-Nov-24,1,144.58,144.58,1,1. Before a week,Friday,5
RES012083,5-Oct-24,At the hotel,0.Non-member,Modified,6-Oct-24,1,90.36,90.36,1,1. Before a week,Sunday,0
RES012159,27-Sep-24,At the hotel,0.Non-member,Modified,28-Sep-24,1,170.98,170.98,1,1. Before a week,Saturday,6
RES012231,17-Sep-24,At the hotel,0.Non-member,Modified,18-Sep-24,1,189.36,189.36,1,1. Before a week,Wednesday,3
RES012312,2-Oct-24,At the hotel,0.Non-member,Modified,3-Oct-24,1,144.38,144.38,1,1. Before a week,Thursday,4
RES012378,3-Oct-24,At the hotel,0.Non-member,Modified,4-Oct-24,1,77.43,77.43,1,1. Before a week,Friday,5
RES012403,10-Oct-24,At the hotel,0.Non-member,Modified,11-Oct-24,1,210.84,210.84,1,1. Before a week,Friday,5
RES012473,21-Sep-24,At the hotel,0.Non-member,Modified,22-Sep-24,1,152.66,152.66,1,1. Before a week,Sunday,0
RES012494,14-Oct-24,At the hotel,0.Non-member,Modified,15-Oct-24,1,162.65,162.65,1,1. Before a week,Tuesday,2
RES012516,5-Sep-24,At the hotel,0.Non-member,Modified,6-Sep-24,1,175.87,175.87,1,1. Before a week,Friday,5
RES012557,9-Oct-24,At the hotel,0.Non-member,Modified,10-Oct-24,1,155.44,155.44,1,1. Before a week,Thursday,4
RES012594,12-Sep-24,At the hotel,0.Non-member,Modified,13-Sep-24,1,173.26,173.26,1,1. Before a week,Friday,5
RES012613,27-Sep-24,At the hotel,0.Non-member,Modified,28-Sep-24,1,0,0,1,1. Before a week,Saturday,6
RES012629,16-Oct-24,At the hotel,0.Non-member,Modified,17-Oct-24,1,120.23,120.23,1,1. Before a week,Thursday,4
RES012633,3-Oct-24,At the hotel,0.Non-member,Modified,4-Oct-24,1,132.53,132.53,1,1. Before a week,Friday,5
RES012700,13-Oct-24,At the hotel,0.Non-member,Modified,14-Oct-24,1,174.68,174.68,1,1. Before a week,Monday,1
RES012760,13-Sep-24,At the hotel,0.Non-member,Modified,14-Sep-24,1,0,0,1,1. Before a week,Saturday,6
RES012898,3-Oct-24,At the hotel,0.Non-member,Modified,4-Oct-24,1,122.13,122.13,1,1. Before a week,Friday,5
RES012943,6-Sep-24,At the hotel,0.Non-member,Modified,7-Sep-24,1,179.39,179.39,1,1. Before a week,Saturday,6
RES012944,19-Oct-24,At the hotel,0.Non-member,Modified,20-Oct-24,1,70.54,70.54,1,1. Before a week,Sunday,0
RES013007,4-Oct-24,At the hotel,0.Non-member,Modified,5-Oct-24,1,193.94,193.94,1,1. Before a week,Saturday,6
RES013019,21-Sep-24,At the hotel,0.Non-member,Modified,22-Sep-24,1,57.57,57.57,1,1. Before a week,Sunday,0
RES013030,4-Sep-24,At the hotel,0.Non-member,Modified,5-Sep-24,1,222.59,222.59,1,1. Before a week,Thursday,4
RES013087,13-Sep-24,At the hotel,0.Non-member,Modified,14-Sep-24,1,0,0,1,1. Before a week,Saturday,6
RES013126,28-Sep-24,At the hotel,0.Non-member,Modified,29-Sep-24,1,177.09,177.09,1,1. Before a week,Sunday,0
RES013139,30-Oct-24,At the hotel,0.Non-member,Modified,31-Oct-24,1,179.39,179.39,1,1. Before a week,Thursday,4
RES013286,13-Sep-24,At the hotel,0.Non-member,Modified,14-Sep-24,1,180.71,180.71,1,1. Before a week,Saturday,6
RES013351,4-Oct-24,At the hotel,0.Non-member,Modified,5-Oct-24,1,204.82,204.82,1,1. Before a week,Saturday,6
RES013555,10-Oct-24,At the hotel,0.Non-member,Modified,11-Oct-24,1,181.82,181.82,1,1. Before a week,Friday,5
RES013582,5-Sep-24,At the hotel,0.Non-member,Modified,6-Sep-24,1,204.82,204.82,1,1. Before a week,Friday,5
RES013627,3-Sep-24,At the hotel,0.Non-member,Modified,4-Sep-24,1,142.5,142.5,1,1. Before a week,Wednesday,3
RES013760,17-Oct-24,At the hotel,0.Non-member,Modified,18-Oct-24,1,33.73,33.73,1,1. Before a week,Friday,5
RES013788,16-Sep-24,At the hotel,0.Non-member,Modified,17-Sep-24,1,168.66,168.66,1,1. Before a week,Tuesday,2
RES013914,2-Oct-24,At the hotel,0.Non-member,Modified,3-Oct-24,1,175.87,175.87,1,1. Before a week,Thursday,4
RES013936,27-Sep-24,At the hotel,0.Non-member,Modified,28-Sep-24,1,228.91,228.91,1,1. Before a week,Saturday,6
RES014025,8-Sep-24,At the hotel,0.Non-member,Modified,9-Sep-24,1,162.65,162.65,1,1. Before a week,Monday,1
RES014321,16-Oct-24,At the hotel,0.Non-member,Modified,17-Oct-24,1,132.53,132.53,1,1. Before a week,Thursday,4
RES014390,20-Sep-24,At the hotel,0.Non-member,Modified,21-Sep-24,1,162.78,162.78,1,1. Before a week,Saturday,6
RES009732,10-Sep-24,At the hotel,0.Non-member,Modified,13-Sep-24,1,130.48,130.48,3,1. Before a week,Friday,5
RES009752,10-Sep-24,At the hotel,0.Non-member,Modified,23-Sep-24,1,113.94,113.94,13,2. Before 2 weeks,Monday,1
RES009756,4-Sep-24,At the hotel,0.Non-member,Modified,6-Sep-24,1,175.87,175.87,2,1. Before a week,Friday,5
RES009791,8-Sep-24,At the hotel,0.Non-member,Modified,10-Sep-24,1,157.57,157.57,2,1. Before a week,Tuesday,2
RES009817,9-Oct-24,At the hotel,0.Non-member,Modified,19-Oct-24,1,0,0,10,2. Before 2 weeks,Saturday,6
RES009823,23-Sep-24,At the hotel,0.Non-member,Modified,29-Sep-24,1,0,0,6,1. Before a week,Sunday,0
RES009840,1-Sep-24,At the hotel,0.Non-member,Modified,7-Sep-24,1,70.54,70.54,6,1. Before a week,Saturday,6
RES009842,23-Sep-24,At the hotel,0.Non-member,Modified,1-Oct-24,1,33.73,33.73,8,2. Before 2 weeks,Tuesday,2
RES009852,7-Sep-24,At the hotel,0.Non-member,Modified,7-Sep-24,1,193.6,193.6,0,1. Before a week,Saturday,6
RES009860,9-Sep-24,At the hotel,0.Non-member,Modified,12-Sep-24,1,33.76,33.76,3,1. Before a week,Thursday,4
RES009867,6-Oct-24,At the hotel,0.Non-member,Modified,13-Oct-24,1,72.28,72.28,7,1. Before a week,Sunday,0
RES009888,7-Sep-24,At the hotel,0.Non-member,Modified,9-Sep-24,1,228.61,228.61,2,1. Before a week,Monday,1
RES009919,9-Sep-24,At the hotel,0.Non-member,Modified,13-Sep-24,1,33.76,33.76,4,1. Before a week,Friday,5
RES009934,20-Sep-24,At the hotel,0.Non-member,Modified,22-Sep-24,1,0,0,2,1. Before a week,Sunday,0
RES009956,3-Oct-24,At the hotel,0.Non-member,Modified,3-Oct-24,1,90.43,90.43,0,1. Before a week,Thursday,4
RES009982,1-Nov-24,At the hotel,0.Non-member,Modified,1-Nov-24,1,115.15,115.15,0,1. Before a week,Friday,5
RES009995,7-Sep-24,At the hotel,0.Non-member,Modified,7-Sep-24,1,66.26,66.26,0,1. Before a week,Saturday,6
RES010028,16-Oct-24,At the hotel,0.Non-member,Modified,20-Oct-24,1,186.74,186.74,4,1. Before a week,Sunday,0
RES010035,12-Sep-24,At the hotel,0.Non-member,Modified,12-Sep-24,1,150.6,150.6,0,1. Before a week,Thursday,4
RES010040,4-Sep-24,At the hotel,0.Non-member,Modified,6-Sep-24,1,70.91,70.91,2,1. Before a week,Friday,5
RES010100,20-Sep-24,At the hotel,0.Non-member,Modified,20-Sep-24,1,159.17,159.17,0,1. Before a week,Friday,5
RES010128,21-Oct-24,At the hotel,0.Non-member,Modified,29-Oct-24,1,33.73,33.73,8,2. Before 2 weeks,Tuesday,2
RES010137,21-Sep-24,At the hotel,0.Non-member,Modified,21-Sep-24,1,132.53,132.53,0,1. Before a week,Saturday,6
RES010161,2-Sep-24,At the hotel,0.Non-member,Modified,7-Sep-24,1,144.28,144.28,5,1. Before a week,Saturday,6
RES010173,14-Oct-24,At the hotel,0.Non-member,Modified,16-Oct-24,1,132.64,132.64,2,1. Before a week,Wednesday,3
RES010182,20-Oct-24,At the hotel,0.Non-member,Modified,20-Oct-24,1,122.89,122.89,0,1. Before a week,Sunday,0
RES010187,1-Sep-24,At the hotel,0.Non-member,Modified,6-Sep-24,1,33.76,33.76,5,1. Before a week,Friday,5
RES010188,4-Sep-24,At the hotel,0.Non-member,Modified,6-Sep-24,1,33.73,33.73,2,1. Before a week,Friday,5
RES010190,26-Sep-24,At the hotel,0.Non-member,Modified,1-Oct-24,1,33.76,33.76,5,1. Before a week,Tuesday,2
RES010220,27-Sep-24,At the hotel,0.Non-member,Modified,2-Oct-24,1,33.73,33.73,5,1. Before a week,Wednesday,3
RES010236,25-Sep-24,At the hotel,0.Non-member,Modified,11-Oct-24,1,198.53,198.53,16,3. Before 4 weeks,Friday,5
RES010246,24-Oct-24,At the hotel,0.Non-member,Modified,27-Oct-24,1,163.63,163.63,3,1. Before a week,Sunday,0
RES010280,5-Aug-24,At the hotel,0.Non-member,Modified,19-Oct-24,1,188.61,188.61,75,4. More than 4 weeks,Saturday,6
RES010298,4-Oct-24,At the hotel,0.Non-member,Modified,4-Oct-24,1,70.91,70.91,0,1. Before a week,Friday,5
RES010360,29-Oct-24,At the hotel,0.Non-member,Modified,2-Nov-24,1,192.75,192.75,4,1. Before a week,Saturday,6
RES010464,3-Sep-24,At the hotel,0.Non-member,Modified,6-Sep-24,1,170.98,170.98,3,1. Before a week,Friday,5
RES010475,11-Oct-24,At the hotel,0.Non-member,Modified,17-Oct-24,1,122.13,122.13,6,1. Before a week,Thursday,4
RES010479,9-Sep-24,At the hotel,0.Non-member,Modified,15-Sep-24,1,33.76,33.76,6,1. Before a week,Sunday,0
RES010533,15-Oct-24,At the hotel,0.Non-member,Modified,19-Oct-24,1,138.55,138.55,4,1. Before a week,Saturday,6
RES010549,19-Oct-24,At the hotel,0.Non-member,Modified,21-Oct-24,1,70.54,70.54,2,1. Before a week,Monday,1
RES010558,14-Oct-24,At the hotel,0.Non-member,Modified,14-Oct-24,1,180.71,180.71,0,1. Before a week,Monday,1
RES010580,2-Oct-24,At the hotel,0.Non-member,Modified,4-Oct-24,1,126.61,126.61,2,1. Before a week,Friday,5
RES010582,28-Aug-24,At the hotel,0.Non-member,Modified,22-Sep-24,1,72.29,72.29,25,3. Before 4 weeks,Sunday,0
RES010612,25-Oct-24,At the hotel,0.Non-member,Modified,1-Nov-24,1,0,0,7,1. Before a week,Friday,5
RES010620,27-Aug-24,At the hotel,0.Non-member,Modified,3-Sep-24,1,181.82,181.82,7,1. Before a week,Tuesday,2
RES010624,3-Sep-24,At the hotel,0.Non-member,Modified,3-Sep-24,1,78,78,0,1. Before a week,Tuesday,2
RES010625,3-Oct-24,At the hotel,0.Non-member,Modified,5-Oct-24,1,149.4,149.4,2,1. Before a week,Saturday,6
RES010628,14-Oct-24,At the hotel,0.Non-member,Modified,16-Oct-24,1,207.62,207.62,2,1. Before a week,Wednesday,3
RES010631,23-Oct-24,At the hotel,0.Non-member,Modified,25-Oct-24,1,176.05,176.05,2,1. Before a week,Friday,5
RES010632,22-Sep-24,At the hotel,0.Non-member,Modified,24-Sep-24,1,186.36,186.36,2,1. Before a week,Tuesday,2
RES010645,11-Apr-24,At the hotel,0.Non-member,Modified,8-Sep-24,1,240.96,240.96,150,4. More than 4 weeks,Sunday,0
RES010653,11-Oct-24,At the hotel,0.Non-member,Modified,13-Oct-24,1,0,0,2,1. Before a week,Sunday,0
RES010685,22-Sep-24,At the hotel,0.Non-member,Modified,23-Oct-24,1,182.56,182.56,31,4. More than 4 weeks,Wednesday,3
RES010768,17-Oct-24,At the hotel,0.Non-member,Modified,28-Oct-24,1,95.45,95.45,11,2. Before 2 weeks,Monday,1
RES010773,30-Aug-24,At the hotel,0.Non-member,Modified,9-Sep-24,1,200,200,10,2. Before 2 weeks,Monday,1
RES010790,19-Oct-24,At the hotel,0.Non-member,Modified,27-Oct-24,1,33.94,33.94,8,2. Before 2 weeks,Sunday,0
RES010813,19-Sep-24,At the hotel,0.Non-member,Modified,19-Sep-24,1,62.65,62.65,0,1. Before a week,Thursday,4
RES010882,25-Sep-24,At the hotel,0.Non-member,Modified,9-Oct-24,1,72.29,72.29,14,2. Before 2 weeks,Wednesday,3
RES010900,25-Sep-24,At the hotel,0.Non-member,Modified,21-Oct-24,1,72.29,72.29,26,3. Before 4 weeks,Monday,1
RES010904,19-Oct-24,At the hotel,0.Non-member,Modified,22-Oct-24,1,78,78,3,1. Before a week,Tuesday,2
RES010922,8-Sep-24,At the hotel,0.Non-member,Modified,8-Sep-24,1,131.31,131.31,0,1. Before a week,Sunday,0
RES010936,7-Sep-24,At the hotel,0.Non-member,Modified,22-Sep-24,1,57.23,57.23,15,3. Before 4 weeks,Sunday,0
RES010942,18-Oct-24,At the hotel,0.Non-member,Modified,31-Oct-24,1,0,0,13,2. Before 2 weeks,Thursday,4
RES010945,28-Oct-24,At the hotel,0.Non-member,Modified,31-Oct-24,1,156.61,156.61,3,1. Before a week,Thursday,4
RES010960,7-Sep-24,At the hotel,0.Non-member,Modified,11-Sep-24,1,244.26,244.26,4,1. Before a week,Wednesday,3
RES011065,22-Oct-24,At the hotel,0.Non-member,Modified,22-Oct-24,1,84.85,84.85,0,1. Before a week,Tuesday,2
RES011077,30-Sep-24,At the hotel,0.Non-member,Modified,2-Oct-24,1,33.94,33.94,2,1. Before a week,Wednesday,3
RES011087,26-Oct-24,At the hotel,0.Non-member,Modified,26-Oct-24,1,149.4,149.4,0,1. Before a week,Saturday,6
RES011100,18-Oct-24,At the hotel,0.Non-member,Modified,21-Oct-24,1,132.79,132.79,3,1. Before a week,Monday,1
RES011111,19-Sep-24,At the hotel,0.Non-member,Modified,29-Oct-24,1,0,0,40,4. More than 4 weeks,Tuesday,2
RES011183,3-Oct-24,At the hotel,0.Non-member,Modified,5-Oct-24,1,0,0,2,1. Before a week,Saturday,6
RES011206,16-Oct-24,At the hotel,0.Non-member,Modified,18-Oct-24,1,192.37,192.37,2,1. Before a week,Friday,5
RES011229,14-Sep-24,At the hotel,0.Non-member,Modified,20-Sep-24,1,121.21,121.21,6,1. Before a week,Friday,5
RES011232,27-Oct-24,At the hotel,0.Non-member,Modified,29-Oct-24,1,114.21,114.21,2,1. Before a week,Tuesday,2
RES011256,29-Sep-24,At the hotel,0.Non-member,Modified,29-Sep-24,1,126.61,126.61,0,1. Before a week,Sunday,0
RES011276,26-Sep-24,At the hotel,0.Non-member,Modified,3-Oct-24,1,160.53,160.53,7,1. Before a week,Thursday,4
RES011287,13-Sep-24,At the hotel,0.Non-member,Modified,13-Sep-24,1,120.48,120.48,0,1. Before a week,Friday,5
RES011300,28-Aug-24,At the hotel,0.Non-member,Modified,8-Sep-24,1,72.29,72.29,11,2. Before 2 weeks,Sunday,0
RES011366,13-Sep-24,At the hotel,0.Non-member,Modified,20-Oct-24,1,216.86,216.86,37,4. More than 4 weeks,Sunday,0
RES011392,23-Sep-24,At the hotel,0.Non-member,Modified,6-Oct-24,1,113.94,113.94,13,2. Before 2 weeks,Sunday,0
RES011407,2-Sep-24,At the hotel,0.Non-member,Modified,8-Sep-24,1,70.54,70.54,6,1. Before a week,Sunday,0
RES011410,6-Sep-24,At the hotel,0.Non-member,Modified,8-Sep-24,1,0,0,2,1. Before a week,Sunday,0
RES011429,15-Oct-24,At the hotel,0.Non-member,Modified,17-Oct-24,1,70.48,70.48,2,1. Before a week,Thursday,4
RES011436,4-Oct-24,At the hotel,0.Non-member,Modified,10-Oct-24,1,168.67,168.67,6,1. Before a week,Thursday,4
RES011446,27-Sep-24,At the hotel,0.Non-member,Modified,11-Oct-24,1,81.92,81.92,14,2. Before 2 weeks,Friday,5
RES011452,23-Sep-24,At the hotel,0.Non-member,Modified,25-Sep-24,1,190.36,190.36,2,1. Before a week,Wednesday,3
RES011470,9-Oct-24,At the hotel,0.Non-member,Modified,9-Oct-24,1,0,0,0,1. Before a week,Wednesday,3
RES011489,14-Oct-24,At the hotel,0.Non-member,Modified,18-Oct-24,1,132.53,132.53,4,1. Before a week,Friday,5
RES011517,6-Oct-24,At the hotel,0.Non-member,Modified,25-Oct-24,1,72.28,72.28,19,3. Before 4 weeks,Friday,5
RES011532,6-Oct-24,At the hotel,0.Non-member,Modified,31-Oct-24,1,141.55,141.55,25,3. Before 4 weeks,Thursday,4
RES011573,24-Aug-24,At the hotel,0.Non-member,Modified,7-Sep-24,1,69.28,69.28,14,2. Before 2 weeks,Saturday,6
RES011598,8-Sep-24,At the hotel,0.Non-member,Modified,14-Sep-24,1,72.28,72.28,6,1. Before a week,Saturday,6
RES011616,15-Sep-24,At the hotel,0.Non-member,Modified,18-Sep-24,1,77.43,77.43,3,1. Before a week,Wednesday,3
RES011623,3-Sep-24,At the hotel,0.Non-member,Modified,3-Sep-24,1,168.32,168.32,0,1. Before a week,Tuesday,2
RES011677,4-Aug-24,At the hotel,0.Non-member,Modified,4-Sep-24,1,72.29,72.29,31,4. More than 4 weeks,Wednesday,3
RES011680,14-Sep-24,At the hotel,0.Non-member,Modified,17-Sep-24,1,207.62,207.62,3,1. Before a week,Tuesday,2
RES011692,5-Oct-24,At the hotel,0.Non-member,Modified,10-Oct-24,1,78.59,78.59,5,1. Before a week,Thursday,4
RES011701,7-Sep-24,At the hotel,0.Non-member,Modified,14-Sep-24,1,168.67,168.67,7,1. Before a week,Saturday,6
RES011737,4-Oct-24,At the hotel,0.Non-member,Modified,4-Oct-24,1,137.34,137.34,0,1. Before a week,Friday,5
RES011740,17-Sep-24,At the hotel,0.Non-member,Modified,19-Sep-24,1,0,0,2,1. Before a week,Thursday,4
RES011761,26-Sep-24,At the hotel,0.Non-member,Modified,31-Oct-24,1,72.29,72.29,35,4. More than 4 weeks,Thursday,4
RES011790,25-Sep-24,At the hotel,0.Non-member,Modified,6-Oct-24,1,72.29,72.29,11,2. Before 2 weeks,Sunday,0
RES011795,16-Oct-24,At the hotel,0.Non-member,Modified,18-Oct-24,1,168.32,168.32,2,1. Before a week,Friday,5
RES011841,26-Sep-24,At the hotel,0.Non-member,Modified,1-Oct-24,1,204.54,204.54,5,1. Before a week,Tuesday,2
RES011842,19-Oct-24,At the hotel,0.Non-member,Modified,22-Oct-24,1,33.76,33.76,3,1. Before a week,Tuesday,2
RES011862,9-Sep-24,At the hotel,0.Non-member,Modified,11-Sep-24,1,70.54,70.54,2,1. Before a week,Wednesday,3
RES011866,30-Oct-24,At the hotel,0.Non-member,Modified,30-Oct-24,1,174.54,174.54,0,1. Before a week,Wednesday,3
RES011871,21-Sep-24,At the hotel,0.Non-member,Modified,2-Oct-24,1,33.73,33.73,11,2. Before 2 weeks,Wednesday,3
RES011897,24-Oct-24,At the hotel,0.Non-member,Modified,31-Oct-24,1,33.76,33.76,7,1. Before a week,Thursday,4
RES011973,5-Sep-24,At the hotel,0.Non-member,Modified,7-Sep-24,1,188.54,188.54,2,1. Before a week,Saturday,6
RES011974,18-Oct-24,At the hotel,0.Non-member,Modified,18-Oct-24,1,132.53,132.53,0,1. Before a week,Friday,5
RES011991,13-Oct-24,At the hotel,0.Non-member,Modified,17-Oct-24,1,132.53,132.53,4,1. Before a week,Thursday,4
RES011996,15-Sep-24,At the hotel,0.Non-member,Modified,19-Sep-24,1,132.53,132.53,4,1. Before a week,Thursday,4
RES012002,2-Oct-24,At the hotel,0.Non-member,Modified,6-Oct-24,1,213.73,213.73,4,1. Before a week,Sunday,0
RES012022,28-Sep-24,At the hotel,0.Non-member,Modified,30-Sep-24,1,177.09,177.09,2,1. Before a week,Monday,1
RES012032,13-Sep-24,At the hotel,0.Non-member,Modified,22-Sep-24,1,222.59,222.59,9,2. Before 2 weeks,Sunday,0
RES012065,19-Oct-24,At the hotel,0.Non-member,Modified,19-Oct-24,1,144.28,144.28,0,1. Before a week,Saturday,6
RES012078,28-Sep-24,At the hotel,0.Non-member,Modified,4-Oct-24,1,33.94,33.94,6,1. Before a week,Friday,5
RES012097,23-Oct-24,At the hotel,0.Non-member,Modified,26-Oct-24,1,149.4,149.4,3,1. Before a week,Saturday,6
RES012099,23-Sep-24,At the hotel,0.Non-member,Modified,25-Sep-24,1,190.36,190.36,2,1. Before a week,Wednesday,3
RES012170,3-Oct-24,At the hotel,0.Non-member,Modified,5-Oct-24,1,149.4,149.4,2,1. Before a week,Saturday,6
RES012213,18-Sep-24,At the hotel,0.Non-member,Modified,20-Sep-24,1,201.51,201.51,2,1. Before a week,Friday,5
RES012255,6-Sep-24,At the hotel,0.Non-member,Modified,6-Sep-24,1,152.66,152.66,0,1. Before a week,Friday,5
RES012291,3-Oct-24,At the hotel,0.Non-member,Modified,5-Oct-24,1,149.4,149.4,2,1. Before a week,Saturday,6
RES012295,11-Oct-24,At the hotel,0.Non-member,Modified,14-Oct-24,1,70.48,70.48,3,1. Before a week,Monday,1
RES012301,24-Sep-24,At the hotel,0.Non-member,Modified,12-Oct-24,1,57.57,57.57,18,3. Before 4 weeks,Saturday,6
RES012302,18-Sep-24,At the hotel,0.Non-member,Modified,18-Sep-24,1,189.36,189.36,0,1. Before a week,Wednesday,3
RES012315,23-Sep-24,At the hotel,0.Non-member,Modified,25-Sep-24,1,33.73,33.73,2,1. Before a week,Wednesday,3
RES012351,7-Sep-24,At the hotel,0.Non-member,Modified,9-Sep-24,1,228.61,228.61,2,1. Before a week,Monday,1
RES012376,14-Oct-24,At the hotel,0.Non-member,Modified,18-Oct-24,1,132.53,132.53,4,1. Before a week,Friday,5
RES012400,1-Oct-24,At the hotel,0.Non-member,Modified,1-Oct-24,1,77.52,77.52,0,1. Before a week,Tuesday,2
RES012418,11-Sep-24,At the hotel,0.Non-member,Modified,14-Sep-24,1,163.63,163.63,3,1. Before a week,Saturday,6
RES012426,21-Sep-24,At the hotel,0.Non-member,Modified,25-Sep-24,1,33.76,33.76,4,1. Before a week,Wednesday,3
RES012438,2-Oct-24,At the hotel,0.Non-member,Modified,28-Oct-24,1,144.28,144.28,26,3. Before 4 weeks,Monday,1
RES012449,6-Oct-24,At the hotel,0.Non-member,Modified,9-Oct-24,1,72.28,72.28,3,1. Before a week,Wednesday,3
RES012490,2-Oct-24,At the hotel,0.Non-member,Modified,5-Oct-24,1,149.4,149.4,3,1. Before a week,Saturday,6
RES012505,15-Sep-24,At the hotel,0.Non-member,Modified,17-Sep-24,1,204.82,204.82,2,1. Before a week,Tuesday,2
RES012522,1-Oct-24,At the hotel,0.Non-member,Modified,4-Oct-24,1,156.61,156.61,3,1. Before a week,Friday,5
RES012567,15-Sep-24,At the hotel,0.Non-member,Modified,19-Sep-24,1,132.53,132.53,4,1. Before a week,Thursday,4
